Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Souza,Attacking Midfield,28,São Paulo,Série A,Paris SG,Ligue 1,2007-2008,4000000.0,4000000
Gorka Iraizoz,Goalkeeper,26,Espanyol,LaLiga,Athletic Bilbao,LaLiga,2007-2008,1400000.0,4000000
Adel Taarabt,Attacking Midfield,18,Lens,Ligue 1,Spurs,Premier League,2007-2008,50000.0,4000000
Daniele Galloppa,Central Midfield,22,AS Roma,Serie A,Siena,Serie A,2007-2008,900000.0,3950000
Robinho,Left Winger,24,Real Madrid,LaLiga,Man City,Premier League,2008-2009,34000000.0,43000000
Dimitar Berbatov,Centre-Forward,27,Spurs,Premier League,Man Utd,Premier League,2008-2009,26000000.0,38000000
Dani Alves,Right-Back,25,Sevilla FC,LaLiga,FC Barcelona,LaLiga,2008-2009,20000000.0,35500000
Ronaldinho,Attacking Midfield,28,FC Barcelona,LaLiga,AC Milan,Serie A,2008-2009,35000000.0,25000000
Robbie Keane,Centre-Forward,28,Spurs,Premier League,Liverpool,Premier League,2008-2009,16500000.0,24000000
Amauri,Centre-Forward,28,US Palermo,Serie A,Juventus,Serie A,2008-2009,16000000.0,22800000
Javier Mascherano,Defensive Midfield,24,West Ham,Premier League,Liverpool,Premier League,2008-2009,22500000.0,22500000
David Bentley,Right Midfield,23,Blackburn,Premier League,Spurs,Premier League,2008-2009,9000000.0,22000000
Lassana Diarra,Defensive Midfield,23,Portsmouth,Premier League,Real Madrid,LaLiga,2008-2009,8500000.0,20000000
Nigel de Jong,Defensive Midfield,24,Hamburger SV,1.Bundesliga,Man City,Premier League,2008-2009,12000000.0,18000000
Aleksandr Hleb,Attacking Midfield,27,Arsenal,Premier League,FC Barcelona,LaLiga,2008-2009,19000000.0,17000000
Robbie Keane,Centre-Forward,28,Liverpool,Premier League,Spurs,Premier League,2008-2009,21000000.0,16700000
Martín Cáceres,Right-Back,21,Villarreal CF,LaLiga,FC Barcelona,LaLiga,2008-2009,6000000.0,16500000
Jermain Defoe,Centre-Forward,26,Portsmouth,Premier League,Spurs,Premier League,2008-2009,11000000.0,16400000
Samir Nasri,Left Winger,21,Marseille,Ligue 1,Arsenal,Premier League,2008-2009,15000000.0,16000000
Craig Bellamy,Left Winger,29,West Ham,Premier League,Man City,Premier League,2008-2009,7500000.0,15500000
Rafael van der Vaart,Attacking Midfield,25,Hamburger SV,1.Bundesliga,Real Madrid,LaLiga,2008-2009,23000000.0,15000000
James Milner,Central Midfield,22,Newcastle,Premier League,Aston Villa,Premier League,2008-2009,8500000.0,15000000
Wilson Palacios,Defensive Midfield,24,Wigan,Premier League,Spurs,Premier League,2008-2009,3500000.0,15000000
Ederson,Attacking Midfield,22,OGC Nice,Ligue 1,Olympique Lyon,Ligue 1,2008-2009,11000000.0,14900000
Alberto Gilardino,Centre-Forward,26,AC Milan,Serie A,Fiorentina,Serie A,2008-2009,17000000.0,14000000
Jean II Makoun,Defensive Midfield,25,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2008-2009,12500000.0,14000000
Sulley Muntari,Central Midfield,23,Portsmouth,Premier League,Inter,Serie A,2008-2009,12000000.0,14000000
Andrea Barzagli,Centre-Back,27,US Palermo,Serie A,VfL Wolfsburg,1.Bundesliga,2008-2009,11000000.0,14000000
Seydou Keita,Central Midfield,28,Sevilla FC,LaLiga,FC Barcelona,LaLiga,2008-2009,8000000.0,14000000
Vedran Corluka,Centre-Back,22,Man City,Premier League,Spurs,Premier League,2008-2009,11500000.0,13750000
Peter Crouch,Centre-Forward,27,Liverpool,Premier League,Portsmouth,Premier League,2008-2009,9500000.0,13700000
Andy Johnson,Centre-Forward,27,Everton,Premier League,Fulham,Premier League,2008-2009,10000000.0,13300000
Mancini,Left Winger,27,AS Roma,Serie A,Inter,Serie A,2008-2009,19000000.0,13000000
Fabricio Coloccini,Centre-Back,26,Dep. La Coruña,LaLiga,Newcastle,Premier League,2008-2009,10000000.0,13000000
Wayne Bridge,Left-Back,28,Chelsea,Premier League,Man City,Premier League,2008-2009,6000000.0,13000000
Johan Elmander,Centre-Forward,27,Toulouse,Ligue 1,Bolton,Premier League,2008-2009,10000000.0,12600000
Juan Manuel Vargas,Left-Back,24,Catania,Serie A,Fiorentina,Serie A,2008-2009,11000000.0,12000000
Hatem Ben Arfa,Attacking Midfield,21,Olympique Lyon,Ligue 1,Marseille,Ligue 1,2008-2009,10000000.0,12000000
Jérémy Ménez,Second Striker,21,Monaco,Ligue 1,AS Roma,Serie A,2008-2009,7500000.0,12000000
Domenico Criscito,Left-Back,21,Juventus,Serie A,Genoa,Serie A,2008-2009,4500000.0,11500000
Shaun Wright-Phillips,Right Winger,26,Chelsea,Premier League,Man City,Premier League,2008-2009,13000000.0,11250000
Gianluca Zambrotta,Right-Back,31,FC Barcelona,LaLiga,AC Milan,Serie A,2008-2009,16000000.0,10500000
Deco,Attacking Midfield,30,FC Barcelona,LaLiga,Chelsea,Premier League,2008-2009,18000000.0,10000000
Júlio Baptista,Attacking Midfield,26,Real Madrid,LaLiga,AS Roma,Serie A,2008-2009,11000000.0,10000000
Ezequiel Garay,Centre-Back,21,Racing,LaLiga,Real Madrid,LaLiga,2008-2009,10000000.0,10000000
Thiago Silva,Centre-Back,24,Fluminense,Série A,AC Milan,Serie A,2008-2009,7500000.0,10000000
Florent Sinama-Pongolle,Second Striker,23,Recr. Huelva,LaLiga,Atlético Madrid,LaLiga,2008-2009,6000000.0,10000000
Anton Ferdinand,Centre-Back,23,West Ham,Premier League,Sunderland,Premier League,2008-2009,4000000.0,10000000
Curtis Davies,Centre-Back,23,West Brom,Premier League,Aston Villa,Premier League,2008-2009,3500000.0,10000000
Albert Riera,Left Winger,26,Espanyol,LaLiga,Liverpool,Premier League,2008-2009,12000000.0,9800000
Christian Poulsen,Defensive Midfield,28,Sevilla FC,LaLiga,Juventus,Serie A,2008-2009,11000000.0,9750000
Giampaolo Pazzini,Centre-Forward,24,Fiorentina,Serie A,Sampdoria,Serie A,2008-2009,10000000.0,9000000
Thiago Neves,Attacking Midfield,23,Fluminense,Série A,Hamburger SV,1.Bundesliga,2008-2009,10000000.0,9000000
Shay Given,Goalkeeper,32,Newcastle,Premier League,Man City,Premier League,2008-2009,7500000.0,9000000
Bakari Koné,Right Winger,26,OGC Nice,Ligue 1,Marseille,Ligue 1,2008-2009,7500000.0,9000000
Andrea Dossena,Left Midfield,26,Udinese Calcio,Serie A,Liverpool,Premier League,2008-2009,6500000.0,9000000
Marco Borriello,Centre-Forward,26,Genoa,Serie A,AC Milan,Serie A,2008-2009,12000000.0,8750000
Pablo Zabaleta,Right-Back,23,Espanyol,LaLiga,Man City,Premier League,2008-2009,8000000.0,8700000
Hugo Lloris,Goalkeeper,21,OGC Nice,Ligue 1,Olympique Lyon,Ligue 1,2008-2009,8500000.0,8500000
Vincent Kompany,Centre-Back,22,Hamburger SV,1.Bundesliga,Man City,Premier League,2008-2009,8000000.0,8500000
Romaric,Defensive Midfield,25,Le Mans,Ligue 1,Sevilla FC,LaLiga,2008-2009,7000000.0,8500000
Abdoulay Konko,Right-Back,24,Genoa,Serie A,Sevilla FC,LaLiga,2008-2009,6000000.0,8500000
John Mensah,Centre-Back,25,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2008-2009,7500000.0,8400000
Marcell Jansen,Left-Back,22,Bayern Munich ,1.Bundesliga,Hamburger SV,1.Bundesliga,2008-2009,10000000.0,8000000
Christian Maggio,Right-Back,26,Sampdoria,Serie A,SSC Napoli,Serie A,2008-2009,9000000.0,8000000
Asamoah Gyan,Centre-Forward,22,Udinese Calcio,Serie A,Stade Rennais,Ligue 1,2008-2009,6000000.0,8000000
Loïc Rémy,Centre-Forward,21,Olympique Lyon,Ligue 1,OGC Nice,Ligue 1,2008-2009,6000000.0,8000000
Stéphane Sessègnon,Attacking Midfield,24,Le Mans,Ligue 1,Paris SG,Ligue 1,2008-2009,5000000.0,8000000
Felipe Melo,Defensive Midfield,25,UD Almería,LaLiga,Fiorentina,Serie A,2008-2009,5000000.0,8000000
Cesare Bovo,Centre-Back,25,Genoa,Serie A,US Palermo,Serie A,2008-2009,3500000.0,7850000
Antonio Nocerino,Central Midfield,23,Juventus,Serie A,US Palermo,Serie A,2008-2009,9500000.0,7500000
Mladen Petric,Centre-Forward,27,Bor. Dortmund,1.Bundesliga,Hamburger SV,1.Bundesliga,2008-2009,9500000.0,7300000
Achille Emaná,Attacking Midfield,26,Toulouse,Ligue 1,Real Betis,LaLiga,2008-2009,10000000.0,7000000
Cristian Zaccardo,Centre-Back,26,US Palermo,Serie A,VfL Wolfsburg,1.Bundesliga,2008-2009,7000000.0,7000000
Rolando Bianchi,Centre-Forward,25,Man City,Premier League,Torino,Serie A,2008-2009,6500000.0,7000000
Rio Mavuba,Defensive Midfield,24,Villarreal CF,LaLiga,LOSC Lille,Ligue 1,2008-2009,6000000.0,7000000
Daniel Osvaldo,Centre-Forward,23,Fiorentina,Serie A,Bologna,Serie A,2008-2009,4000000.0,7000000
Sébastien Squillaci,Centre-Back,27,Olympique Lyon,Ligue 1,Sevilla FC,LaLiga,2008-2009,15000000.0,6500000
Yoan Gouffran,Left Winger,22,SM Caen,Ligue 1,G. Bordeaux,Ligue 1,2008-2009,6000000.0,6500000
Charles N'Zogbia,Right Winger,22,Newcastle,Premier League,Wigan,Premier League,2008-2009,7000000.0,6400000
Tal Ben Haim,Centre-Back,26,Chelsea,Premier League,Man City,Premier League,2008-2009,4000000.0,6400000
Valon Behrami,Defensive Midfield,23,Lazio,Serie A,West Ham,Premier League,2008-2009,8000000.0,6300000
Steve Sidwell,Central Midfield,25,Chelsea,Premier League,Aston Villa,Premier League,2008-2009,4000000.0,6300000
Younès Kaboul,Centre-Back,22,Spurs,Premier League,Portsmouth,Premier League,2008-2009,6500000.0,6250000
Giovani dos Santos,Second Striker,19,FC Barcelona,LaLiga,Spurs,Premier League,2008-2009,6000000.0,6000000
Gaby Mudingayi,Defensive Midfield,26,Lazio,Serie A,Bologna,Serie A,2008-2009,5500000.0,6000000
Roberto Soldado,Centre-Forward,23,Real Madrid,LaLiga,Getafe CF,LaLiga,2008-2009,4000000.0,6000000
Aritz Aduriz,Centre-Forward,27,Athletic Bilbao,LaLiga,RCD Mallorca,LaLiga,2008-2009,3800000.0,6000000
Borja Valero,Central Midfield,23,RCD Mallorca,LaLiga,West Brom,Premier League,2008-2009,3800000.0,5900000
Jonás Gutiérrez,Left Midfield,25,RCD Mallorca,LaLiga,Newcastle,Premier League,2008-2009,6000000.0,5800000
Xisco,Centre-Forward,22,Dep. La Coruña,LaLiga,Newcastle,Premier League,2008-2009,5000000.0,5680000
Joseba Llorente,Centre-Forward,28,Real Valladolid,LaLiga,Villarreal CF,LaLiga,2008-2009,6000000.0,5500000
George McCartney,Left-Back,27,West Ham,Premier League,Sunderland,Premier League,2008-2009,4000000.0,5500000
Leandro Rinaudo,Centre-Back,25,US Palermo,Serie A,SSC Napoli,Serie A,2008-2009,2500000.0,5500000
Jimmy Bullard,Central Midfield,30,Fulham,Premier League,Hull City,Premier League,2008-2009,4500000.0,5300000
Renato Augusto,Central Midfield,20,Flamengo,Série A,Bay. Leverkusen,1.Bundesliga,2008-2009,5500000.0,5200000
John Arne Riise,Left-Back,27,Liverpool,Premier League,AS Roma,Serie A,2008-2009,12500000.0,5000000
Raffaele Palladino,Left Winger,24,Juventus,Serie A,Genoa,Serie A,2008-2009,10000000.0,5000000
Steed Malbranque,Central Midfield,28,Spurs,Premier League,Sunderland,Premier League,2008-2009,9000000.0,5000000
Gerard Piqué,Centre-Back,21,Man Utd,Premier League,FC Barcelona,LaLiga,2008-2009,5500000.0,5000000
Khalid Boulahrouz,Centre-Back,26,Chelsea,Premier League,VfB Stuttgart,1.Bundesliga,2008-2009,5000000.0,5000000
Steve Savidan,Centre-Forward,30,Valenciennes FC,Ligue 1,SM Caen,Ligue 1,2008-2009,5000000.0,5000000
Didier Digard,Defensive Midfield,21,Paris SG,Ligue 1,Middlesbrough,Premier League,2008-2009,3000000.0,5000000
Renan,Goalkeeper,23,Internacional,Série A,Valencia CF,LaLiga,2008-2009,1700000.0,5000000
Davide Astori,Centre-Back,21,AC Milan,Serie A,Cagliari Calcio,Serie A,2008-2009,,5000000
Gianluca Comotto,Centre-Back,29,Torino,Serie A,Fiorentina,Serie A,2008-2009,2700000.0,4800000
Andrea Lazzari,Central Midfield,23,Atalanta,Serie A,Cagliari Calcio,Serie A,2008-2009,2000000.0,4800000
Rubén de la Red,Central Midfield,23,Getafe CF,LaLiga,Real Madrid,LaLiga,2008-2009,6000000.0,4700000
Fernando Navarro,Left-Back,26,RCD Mallorca,LaLiga,Sevilla FC,LaLiga,2008-2009,6000000.0,4700000
Frédéric Piquionne,Centre-Forward,29,Monaco,Ligue 1,Olympique Lyon,Ligue 1,2008-2009,7000000.0,4500000
Kevin Nolan,Attacking Midfield,26,Bolton,Premier League,Newcastle,Premier League,2008-2009,6500000.0,4500000
Francesco Modesto,Left-Back,26,Reggina,Serie A,Genoa,Serie A,2008-2009,5000000.0,4500000
Maurizio Domizzi,Centre-Back,28,SSC Napoli,Serie A,Udinese Calcio,Serie A,2008-2009,5000000.0,4500000
Jaime Gavilán,Left Winger,23,Valencia CF,LaLiga,Getafe CF,LaLiga,2008-2009,3000000.0,4500000
Wellington,Centre-Forward,20,Internacional,Série A,TSG Hoffenheim,1.Bundesliga,2008-2009,900000.0,4500000
Paul Robinson,Goalkeeper,28,Spurs,Premier League,Blackburn,Premier League,2008-2009,5000000.0,4400000
Lee Cattermole,Defensive Midfield,20,Middlesbrough,Premier League,Wigan,Premier League,2008-2009,2000000.0,4400000
Diego Cavalieri,Goalkeeper,25,Palmeiras,Série A,Liverpool,Premier League,2008-2009,1200000.0,4400000
Danny Guthrie,Central Midfield,21,Liverpool,Premier League,Newcastle,Premier League,2008-2009,1800000.0,4300000
Fernando Tissone,Defensive Midfield,21,Atalanta,Serie A,Udinese Calcio,Serie A,2008-2009,5500000.0,4200000
Bobby Zamora,Centre-Forward,27,West Ham,Premier League,Fulham,Premier League,2008-2009,3000000.0,4100000
Túlio de Melo,Centre-Forward,23,US Palermo,Serie A,LOSC Lille,Ligue 1,2008-2009,7000000.0,4000000
Scott Carson,Goalkeeper,22,Liverpool,Premier League,West Brom,Premier League,2008-2009,6000000.0,4000000
Javi García,Defensive Midfield,21,CA Osasuna,LaLiga,Real Madrid,LaLiga,2008-2009,5000000.0,4000000
Sylvain Monsoreau,Centre-Back,27,Monaco,Ligue 1,Saint-Étienne,Ligue 1,2008-2009,4000000.0,4000000
Vince Grella,Central Midfield,28,Torino,Serie A,Blackburn,Premier League,2008-2009,2500000.0,4000000
John Paintsil,Right-Back,27,West Ham,Premier League,Fulham,Premier League,2008-2009,1500000.0,3800000
Justin Hoyte,Right-Back,23,Arsenal,Premier League,Middlesbrough,Premier League,2008-2009,1500000.0,3800000
Cristiano Ronaldo,Centre-Forward,24,Man Utd,Premier League,Real Madrid,LaLiga,2009-2010,60000000.0,94000000
Zlatan Ibrahimovic,Centre-Forward,27,Inter,Serie A,FC Barcelona,LaLiga,2009-2010,45000000.0,69500000
Kaká,Attacking Midfield,27,AC Milan,Serie A,Real Madrid,LaLiga,2009-2010,55000000.0,65000000
Karim Benzema,Centre-Forward,21,Olympique Lyon,Ligue 1,Real Madrid,LaLiga,2009-2010,29000000.0,35000000
Xabi Alonso,Defensive Midfield,27,Liverpool,Premier League,Real Madrid,LaLiga,2009-2010,27000000.0,34500000
Mario Gómez,Centre-Forward,23,VfB Stuttgart,1.Bundesliga,Bayern Munich ,1.Bundesliga,2009-2010,30000000.0,30000000
Emmanuel Adebayor,Centre-Forward,25,Arsenal,Premier League,Man City,Premier League,2009-2010,25000000.0,29000000
Carlos Tévez,Second Striker,25,West Ham,Premier League,Man City,Premier League,2009-2010,25000000.0,29000000
Joleon Lescott,Centre-Back,27,Everton,Premier League,Man City,Premier League,2009-2010,17000000.0,27500000
Diego,Attacking Midfield,24,Werder Bremen,1.Bundesliga,Juventus,Serie A,2009-2010,29000000.0,27000000
Arjen Robben,Right Winger,25,Real Madrid,LaLiga,Bayern Munich ,1.Bundesliga,2009-2010,30000000.0,25000000
Diego Milito,Centre-Forward,30,Genoa,Serie A,Inter,Serie A,2009-2010,16000000.0,25000000
Felipe Melo,Defensive Midfield,26,Fiorentina,Serie A,Juventus,Serie A,2009-2010,9500000.0,25000000
Roque Santa Cruz,Centre-Forward,27,Blackburn,Premier League,Man City,Premier League,2009-2010,10000000.0,21200000
Glen Johnson,Right-Back,24,Portsmouth,Premier League,Liverpool,Premier League,2009-2010,11000000.0,20500000
Samuel Eto'o,Centre-Forward,28,FC Barcelona,LaLiga,Inter,Serie A,2009-2010,35000000.0,20000000
Alberto Aquilani,Central Midfield,25,AS Roma,Serie A,Liverpool,Premier League,2009-2010,15000000.0,20000000
Antonio Valencia,Right-Back,23,Wigan,Premier League,Man Utd,Premier League,2009-2010,11000000.0,18900000
Kolo Touré,Centre-Back,28,Arsenal,Premier League,Man City,Premier League,2009-2010,21000000.0,18700000
Fabio Quagliarella,Centre-Forward,26,Udinese Calcio,Serie A,SSC Napoli,Serie A,2009-2010,14000000.0,18000000
Michel Bastos,Left Midfield,25,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2009-2010,10000000.0,18000000
Nilmar,Centre-Forward,25,Internacional,Série A,Villarreal CF,LaLiga,2009-2010,11000000.0,16500000
Wesley Sneijder,Attacking Midfield,25,Real Madrid,LaLiga,Inter,Serie A,2009-2010,25000000.0,15000000
Klaas-Jan Huntelaar,Centre-Forward,26,Real Madrid,LaLiga,AC Milan,Serie A,2009-2010,20000000.0,15000000
Álvaro Negredo,Centre-Forward,24,Real Madrid,LaLiga,Sevilla FC,LaLiga,2009-2010,12000000.0,15000000
Raúl Albiol,Centre-Back,23,Valencia CF,LaLiga,Real Madrid,LaLiga,2009-2010,9000000.0,15000000
Robert Acquafresca,Centre-Forward,21,Inter,Serie A,Genoa,Serie A,2009-2010,8000000.0,15000000
Gareth Barry,Defensive Midfield,28,Aston Villa,Premier League,Man City,Premier League,2009-2010,18500000.0,13900000
Michael Turner,Centre-Back,25,Hull City,Premier League,Sunderland,Premier League,2009-2010,4000000.0,13600000
Yoann Gourcuff,Attacking Midfield,22,AC Milan,Serie A,G. Bordeaux,Ligue 1,2009-2010,18500000.0,13500000
Bafétimbi Gomis,Centre-Forward,23,Saint-Étienne,Ligue 1,Olympique Lyon,Ligue 1,2009-2010,8000000.0,13000000
Stéphane Mbia,Defensive Midfield,23,Stade Rennais,Ligue 1,Marseille,Ligue 1,2009-2010,9500000.0,12000000
Darren Bent,Centre-Forward,25,Spurs,Premier League,Sunderland,Premier League,2009-2010,12000000.0,11800000
Luca Cigarini,Defensive Midfield,23,Atalanta,Serie A,SSC Napoli,Serie A,2009-2010,7000000.0,11000000
Peter Crouch,Centre-Forward,28,Portsmouth,Premier League,Spurs,Premier League,2009-2010,10000000.0,10500000
Sergio Floccari,Centre-Forward,27,Atalanta,Serie A,Genoa,Serie A,2009-2010,9000000.0,10500000
Leonardo Bonucci,Centre-Back,22,Genoa,Serie A,Bari,Serie A,2009-2010,400000.0,10500000
Thiago Motta,Defensive Midfield,26,Genoa,Serie A,Inter,Serie A,2009-2010,7000000.0,10200000
Lukas Podolski,Centre-Forward,24,Bayern Munich ,1.Bundesliga,1. FC Köln,1.Bundesliga,2009-2010,12000000.0,10000000
McDonald Mariga,Defensive Midfield,22,Parma,Serie A,Inter,Serie A,2009-2010,6000000.0,10000000
Daniele Galloppa,Central Midfield,24,Siena,Serie A,Parma,Serie A,2009-2010,4000000.0,10000000
Didier Zokora,Defensive Midfield,28,Spurs,Premier League,Sevilla FC,LaLiga,2009-2010,8500000.0,9000000
Stephen Warnock,Left-Back,27,Blackburn,Premier League,Aston Villa,Premier League,2009-2010,5100000.0,9000000
Mevlüt Erdinc,Centre-Forward,22,FC Sochaux,Ligue 1,Paris SG,Ligue 1,2009-2010,7500000.0,8500000
Camilo Zúñiga,Right-Back,23,Siena,Serie A,SSC Napoli,Serie A,2009-2010,1800000.0,8500000
Marko Marin,Left Winger,20,Bor. M'gladbach,1.Bundesliga,Werder Bremen,1.Bundesliga,2009-2010,9000000.0,8200000
Zdravko Kuzmanovic,Central Midfield,21,Fiorentina,Serie A,VfB Stuttgart,1.Bundesliga,2009-2010,8000000.0,8000000
Cédric Carrasso,Goalkeeper,27,Toulouse,Ligue 1,G. Bordeaux,Ligue 1,2009-2010,6000000.0,8000000
Daniel Sturridge,Centre-Forward,19,Man City,Premier League,Chelsea,Premier League,2009-2010,3000000.0,7250000
Lúcio,Centre-Back,31,Bayern Munich ,1.Bundesliga,Inter,Serie A,2009-2010,18000000.0,7000000
Josip Simunic,Centre-Back,31,Hertha BSC,1.Bundesliga,TSG Hoffenheim,1.Bundesliga,2009-2010,9000000.0,7000000
Karim Ziani,Attacking Midfield,26,Marseille,Ligue 1,VfL Wolfsburg,1.Bundesliga,2009-2010,6500000.0,7000000
Lee Cattermole,Defensive Midfield,21,Wigan,Premier League,Sunderland,Premier League,2009-2010,3700000.0,7000000
Hugo Campagnaro,Centre-Back,29,Sampdoria,Serie A,SSC Napoli,Serie A,2009-2010,3200000.0,7000000
Richard Dunne,Centre-Back,29,Man City,Premier League,Aston Villa,Premier League,2009-2010,9500000.0,6800000
Johnny Heitinga,Centre-Back,25,Atlético Madrid,LaLiga,Everton,Premier League,2009-2010,8000000.0,6800000
Alessandro Diamanti,Second Striker,26,AS Livorno,Serie A,West Ham,Premier League,2009-2010,3500000.0,6800000
Sylvain Distin,Centre-Back,31,Portsmouth,Premier League,Everton,Premier League,2009-2010,8300000.0,6500000
Souleymane Diawara,Centre-Back,30,G. Bordeaux,Ligue 1,Marseille,Ligue 1,2009-2010,7500000.0,6500000
Gervinho,Left Winger,22,Le Mans,Ligue 1,LOSC Lille,Ligue 1,2009-2010,6000000.0,6500000
Savio Nsereko,Right Winger,20,West Ham,Premier League,Fiorentina,Serie A,2009-2010,4000000.0,6200000
David Rozehnal,Centre-Back,29,Lazio,Serie A,Hamburger SV,1.Bundesliga,2009-2010,4000000.0,6000000
Matuzalém,Defensive Midfield,29,Real Zaragoza,LaLiga,Lazio,Serie A,2009-2010,4000000.0,6000000
Iván Marcano,Centre-Back,22,Racing,LaLiga,Villarreal CF,LaLiga,2009-2010,3000000.0,6000000
Oscar,Attacking Midfield,18,São Paulo,Série A,Internacional,Série A,2009-2010,500000.0,6000000
Younès Kaboul,Centre-Back,24,Portsmouth,Premier League,Spurs,Premier League,2009-2010,5700000.0,5900000
Lorik Cana,Centre-Back,25,Marseille,Ligue 1,Sunderland,Premier League,2009-2010,14000000.0,5800000
James Collins,Centre-Back,26,West Ham,Premier League,Aston Villa,Premier League,2009-2010,2000000.0,5700000
Ikechukwu Uche,Centre-Forward,25,Getafe CF,LaLiga,Real Zaragoza,LaLiga,2009-2010,4000000.0,5500000
Sergio Asenjo,Goalkeeper,20,Real Valladolid,LaLiga,Atlético Madrid,LaLiga,2009-2010,4000000.0,5500000
Lorenzo De Silvestri,Right-Back,21,Lazio,Serie A,Fiorentina,Serie A,2009-2010,3200000.0,5500000
Houssine Kharja,Central Midfield,26,Siena,Serie A,Genoa,Serie A,2009-2010,4000000.0,5200000
Maxwell,Left-Back,27,Inter,Serie A,FC Barcelona,LaLiga,2009-2010,13500000.0,5000000
Álvaro Negredo,Centre-Forward,23,UD Almería,LaLiga,Real Madrid,LaLiga,2009-2010,12000000.0,5000000
Marco Amelia,Goalkeeper,27,US Palermo,Serie A,Genoa,Serie A,2009-2010,10000000.0,5000000
Réver,Centre-Back,25,Grêmio,Série A,VfL Wolfsburg,1.Bundesliga,2009-2010,5500000.0,5000000
